Dialogue_ID,Recognition_ID,Speaker,Utterance,Predicted_Emotion_Raw,Actual_Emotion
0,0_0_3_19,Mark,Why do all youre coffee mugs have numbers on the bottom?,"{
  ""recognition_id"": ""0_0_3_19"",
  ""reasoning"": ""Three agents (Character Profiler, Sentiment Analyst, Social Dynamics) unanimously identify the utterance as neutral curiosity with low arousal, overriding the lone playful interpretation."",
  ""predicted_emotion"": ""neutral"",
  ""confidence"": 0.88,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent2"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": [""Agent1""]
  }
}",surprise
0,0_1_3_19,Rachel,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!","{
  ""recognition_id"": ""0_1_3_19"",
  ""reasoning"": ""Three agents describe the utterance as lighthearted, playful teasing, which maps to Joy in the MELD taxonomy."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.86,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Social Dynamics""],
    ""dissenting_agents"": [""Sentiment Analyst""]
  }
}",anger
0,0_2_3_19,Rachel,Y'know what?,"{
  ""recognition_id"": ""0_2_3_19"",
  ""reasoning"": ""Majority of agents (Context Historian aside) interpret the utterance as a neutral conversational opener with no strong sarcasm or high‑arousal sentiment, so neutral is adopted."",
  ""predicted_emotion"": ""neutral"",
  ""confidence"": 0.86,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent2"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": [""Agent1""]
  }
}",neutral
1,1_0_1_23,Joey,"Come on, Lydia, you can do it.","{
  ""recognition_id"": ""1_0_1_23"",
  ""reasoning"": ""High arousal (7) with positive sentiment from the Sentiment Analyst maps to JOY per Rule 2."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.96,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent2"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": []
  }
}",neutral
1,1_1_1_23,Joey,Push!,"{
  ""recognition_id"": ""1_1_1_23"",
  ""reasoning"": ""Three of the five expert agents (Context Historian, Character Profiler, Social Dynamics) identify the utterance as a high‑energy, supportive encouragement, yielding a consensus for JOY which overrides the single anger indication."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.82,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent2"", ""Agent4""],
    ""dissenting_agents"": [""Agent3""]
  }
}",joy
1,1_2_1_23,Joey,"Push 'em out, push 'em out, harder, harder.","{
  ""recognition_id"": ""1_2_1_23"",
  ""reasoning"": ""Agent4’s high arousal with positive sentiment maps to JOY, and three agents (1, 2, 4) agree on an encouraging emotion."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.85,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent2"", ""Agent4""],
    ""dissenting_agents"": [""Agent3""]
  }
}",joy
1,1_3_1_23,Joey,"Push 'em out, push 'em out, way out!","{
  ""recognition_id"": ""1_3_1_23"",
  ""reasoning"": ""Three agents (Context Historian, Character Profiler, Social Dynamics) identify the utterance as high‑energy, supportive encouragement, outweighing the single anger indication."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.78,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent2"", ""Agent4""],
    ""dissenting_agents"": [""Agent3""]
  }
}",joy
1,1_4_1_23,Joey,"Let's get that ball and really move, hey, hey, ho, ho.","{
  ""recognition_id"": ""1_4_1_23"",
  ""reasoning"": ""Agents 1, 3, and 4 all report high arousal and positive, encouraging sentiment, which maps to JOY under the arousal‑sentiment rule and yields a strong consensus."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.93,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": []
  }
}",joy
1,1_5_1_23,Joey,"Let's  I was justyeah, right.","{
  ""recognition_id"": ""1_5_1_23"",
  ""reasoning"": ""High‑arousal negative sarcasm detected (Agent3) combined with inferred negative sentiment and high arousal for the speaker (Agent4) maps to ANGER per Rule 2."",
  ""predicted_emotion"": ""anger"",
  ""confidence"": 0.78,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent3"", ""Agent4""],
    ""dissenting_agents"": [""Agent1"", ""Agent2"", ""Agent5""]
  }
}",joy
1,1_6_1_23,Joey,Push!,"{
  ""recognition_id"": ""1_6_1_23"",
  ""reasoning"": ""Multiple agents describe a high‑arousal, supportive, encouraging context, leading to a consensus of joy"",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.86,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent2"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": []
  }
}",joy
1,1_7_1_23,Joey,Push!,"{
  ""recognition_id"": ""1_7_1_23"",
  ""reasoning"": ""A majority of agents (Context Historian, Character Profiler, Social Dynamics) interpret the high‑arousal, supportive command as positive encouragement, leading to JOY."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.86,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent1"", ""Agent2"", ""Agent4""],
    ""dissenting_agents"": [""Agent3""]
  }
}",joy
2,2_0_5_16,Ross,Okay.,"{
  ""recognition_id"": ""2_0_5_16"",
  ""reasoning"": ""Three out of five agents (Character Profiler, Sentiment Analyst, Social Dynamics) interpret the single-word \""Okay.\"" as a neutral acknowledgement lacking strong affect, outweighing the mild positive hint from the Context Historian."",
  ""predicted_emotion"": ""neutral"",
  ""confidence"": 0.78,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent2"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": [""Agent1"", ""Agent5""]
  }
}",neutral
2,2_1_5_16,Rachel,"Ross, didn't you say that there was an elevator in here?","{
  ""recognition_id"": ""2_1_5_16"",
  ""reasoning"": ""The Sentiment Analyst reports negative sentiment, moderate arousal (6) and strong sarcasm cues that together signal sarcastic annoyance, which maps to anger."",
  ""predicted_emotion"": ""anger"",
  ""confidence"": 0.78,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent3""],
    ""dissenting_agents"": [""Agent1"", ""Agent2"", ""Agent4""]
  }
}",neutral
2,2_2_5_16,Ross,"Uhh, yes I did but there isn't. Okay, here we go.","{
  ""recognition_id"": ""2_2_5_16"",
  ""reasoning"": ""Agent4 reports high arousal (7) with overall negative sentiment, and Rule 5 amplifies this due to a high relational influence score, resulting in an angry interpretation."",
  ""predicted_emotion"": ""anger"",
  ""confidence"": 0.86,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent4"", ""Agent5"", ""Agent2""],
    ""dissenting_agents"": [""Agent1"", ""Agent3""]
  }
}",sadness
2,2_3_5_16,Ross,"Okay, go left. Left! Left!","{
  ""recognition_id"": ""2_3_5_16"",
  ""reasoning"": ""High relational influence (score 8) combined with the very high arousal (8‑9) pushes the emotion toward the most extreme interpretation, i.e., anger"",
  ""predicted_emotion"": ""anger"",
  ""confidence"": 0.78,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent3"", ""Agent4""],
    ""dissenting_agents"": [""Agent1"", ""Agent2""]
  }
}",surprise
2,2_4_5_16,Rachel,"Okay, y'know what? There is no more left, left!","{
  ""recognition_id"": ""2_4_5_16"",
  ""reasoning"": ""The majority of agents (2, 3, and 4) identify high‑arousal frustration/anger in Rachel’s exclamatory statement, and the sarcasm probability is low, so anger is chosen."",
  ""predicted_emotion"": ""anger"",
  ""confidence"": 0.86,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Agent2"", ""Agent3"", ""Agent4""],
    ""dissenting_agents"": [""Agent1""]
  }
}",anger
