Dialogue_ID,Recognition_ID,Speaker,Utterance,Actual_Emotion,predicted_emotion,confidence,outcome,winning_agent,vote_plain,vote_linguistic,vote_context,reason_plain,reason_linguistic,reason_context,arbitrator_reasoning
0,0_0,Mark,Why do all youre coffee mugs have numbers on the bottom?,surprise,neutral,1.0,majority,majority,joy,neutral,neutral,,,,
0,0_1,Rachel,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",anger,neutral,0.75,majority,majority,neutral,joy,neutral,,,,
0,0_2,Rachel,Y'know what?,neutral,neutral,0.5,majority,majority,neutral,joy,neutral,,,,
1,1_0,Joey,"Come on, Lydia, you can do it.",neutral,neutral,0.9333,unanimous,majority,neutral,neutral,neutral,,,,
1,1_1,Joey,Push!,joy,neutral,0.7667,unanimous,majority,neutral,neutral,neutral,,,,
1,1_2,Joey,"Push 'em out, push 'em out, harder, harder.",joy,joy,0.95,majority,majority,anger,joy,joy,,,,
1,1_3,Joey,"Push 'em out, push 'em out, way out!",joy,joy,0.375,majority,majority,joy,joy,neutral,,,,
1,1_4,Joey,"Let's get that ball and really move, hey, hey, ho, ho.",joy,joy,0.5,majority,majority,neutral,joy,joy,,,,
1,1_5,Joey,"Let's  I was justyeah, right.",joy,neutral,0.5,majority,majority,neutral,neutral,anger,,,,
1,1_6,Joey,Push!,joy,joy,0.99,majority,majority,joy,joy,neutral,,,,
1,1_7,Joey,Push!,joy,anger,1.0,arbitrated,unknown,joy,neutral,anger,,,,
3,3_0,Steve,"Oh, okay, I get it.",neutral,neutral,1.0,unanimous,majority,neutral,neutral,neutral,,,,
3,3_1,Ross,"No wait, look. Look! I'm sorry, it's just I've never even",fear,neutral,0.5,arbitrated,unknown,anger,neutral,surprise,,,,
3,3_2,Steve,Howard's the,neutral,neutral,0.5333,unanimous,majority,neutral,neutral,neutral,,,,
3,3_3,Ross,"Yes but too me he's just, man.",neutral,neutral,0.75,majority,majority,neutral,neutral,sadness,,,,
3,3_4,Steve,"Okay, fine, whatever. Welcome to the building.",anger,anger,0.5,majority,majority,anger,neutral,anger,,,,
3,3_5,Ross,"Ugh, can you believe that guy!",disgust,anger,1.0,majority,majority,anger,neutral,anger,,,,
3,3_6,Phoebe,Yeah. I really like his glasses.,neutral,joy,0.375,majority,majority,joy,neutral,joy,,,,
2,2_0,Ross,Okay.,neutral,neutral,0.8267,unanimous,majority,neutral,neutral,neutral,,,,
2,2_1,Rachel,"Ross, didn't you say that there was an elevator in here?",neutral,neutral,0.75,majority,majority,neutral,surprise,neutral,,,,
2,2_2,Ross,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,neutral,0.49,majority,majority,neutral,neutral,anger,,,,
2,2_3,Ross,"Okay, go left. Left! Left!",surprise,joy,0.5,majority,majority,joy,joy,neutral,,,,
2,2_4,Rachel,"Okay, y'know what? There is no more left, left!",anger,anger,0.9,majority,majority,anger,neutral,anger,,,,
2,2_5,Ross,"Oh okay, lift it straight up over your head!",anger,neutral,0.75,majority,majority,joy,neutral,neutral,,,,
2,2_6,Ross,Straight up over your head!,anger,neutral,0.5,arbitrated,unknown,surprise,fear,neutral,,,,
2,2_7,Ross,You can do it!,joy,joy,1.0,majority,majority,neutral,joy,joy,,,,
2,2_8,Ross,You can do it!,joy,joy,0.85,majority,majority,joy,neutral,joy,,,,
2,2_9,Ross,Okay.,neutral,neutral,0.9,majority,majority,joy,neutral,neutral,,,,
2,2_10,Ross,You got it?,neutral,neutral,0.8267,unanimous,majority,neutral,neutral,neutral,,,,
6,6_0,Joey,Previously on Friends.,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
6,6_1,Monica,I dont know exactly. Its-its sorta like wrestling.,neutral,neutral,0.56,unanimous,majority,neutral,neutral,neutral,,,,
6,6_2,Phoebe,Oh?!,surprise,surprise,0.84,unanimous,majority,surprise,surprise,surprise,,,,
5,5_0,Chandler,Youre coming on to the entire room!  Im Chandler.,anger,anger,0.8,majority,majority,neutral,anger,anger,,,,
5,5_1,Chandler,Hi.,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
5,5_2,Marjorie,Hi.,neutral,neutral,0.5,majority,majority,joy,neutral,neutral,,,,
5,5_3,Chandler,You mind if I,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
5,5_4,Marjorie,"No, please.",neutral,neutral,0.5,majority,majority,sadness,neutral,neutral,,,,
5,5_5,Chandler,"So uh, what are you in for?",neutral,neutral,0.4967,unanimous,majority,neutral,neutral,neutral,,,,
5,5_6,Marjorie,I talk in my sleep.,neutral,neutral,0.2422,majority,majority,neutral,neutral,surprise,,,,
5,5_7,Chandler,"What a coincidence, I listen in my sleep.",neutral,surprise,0.7033,unanimous,majority,surprise,surprise,surprise,,,,
5,5_8,Joey,So why dont you give me your number?,neutral,neutral,1.0,majority,majority,joy,neutral,neutral,,,,
4,4_0,Phoebe,Ohh!,surprise,surprise,0.675,majority,majority,surprise,surprise,disgust,,,,
4,4_1,Monica,What?,neutral,surprise,0.9,majority,majority,neutral,surprise,surprise,,,,
4,4_2,Phoebe,It kicked! I think the baby kicked!,surprise,joy,0.9967,unanimous,majority,joy,joy,joy,,,,
4,4_3,Monica,Oh my God!,surprise,surprise,1.0,arbitrated,unknown,surprise,neutral,joy,,,,
4,4_4,Phoebe,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,surprise,0.85,majority,majority,neutral,surprise,surprise,,,,
4,4_5,Joey,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,neutral,0.5,arbitrated,unknown,surprise,anger,neutral,,,,
4,4_6,Monica,"Oh wait, Joey, you cant go like that! You stink!",disgust,disgust,0.9,majority,majority,anger,disgust,disgust,,,,
4,4_7,Joey,"Look, I know I feel asleep before I could shower and now I dont have time!",anger,neutral,0.125,majority,majority,anger,neutral,neutral,,,,
4,4_8,Joey,"Theyre just ten blocks away, if I run, I can make it.",neutral,neutral,0.55,majority,majority,neutral,neutral,fear,,,,
7,7_0,Monica,"Yeah, but without the costumes.",neutral,neutral,0.74,majority,majority,neutral,neutral,joy,,,,
7,7_1,Phoebe,Oh.,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
7,7_2,Joey,"And its not fake, its totally brutal.",neutral,anger,0.5,majority,majority,anger,anger,disgust,,,,
7,7_3,Chandler,"Yeah, its two guys in a ring, and the rules are: Theyre",neutral,neutral,0.85,majority,majority,neutral,neutral,anger,,,,
7,7_4,Monica,"So you can like, bite, and pull peoples hair and stuff?",surprise,neutral,0.8333,unanimous,majority,neutral,neutral,neutral,,,,
7,7_5,Ross,"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,neutral,0.75,majority,majority,neutral,neutral,disgust,,,,
7,7_6,Monica,Whats fish hooking?,surprise,neutral,1.0,unanimous,majority,neutral,neutral,neutral,,,,
7,7_7,Ross,"Huh, whats fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,surprise,0.53,arbitrated,unknown,neutral,surprise,disgust,,,,
7,7_8,Joey,"What? My hands are totally clean, I just gave the duck a bath.",neutral,neutral,0.5,arbitrated,unknown,joy,surprise,fear,,,,
8,8_0,Jade,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
8,8_1,Chandler,"Well, that makes me feel so good.",joy,joy,0.95,arbitrated,unknown,joy,surprise,neutral,,,,
8,8_2,Jade,It was just so awkward and bumpy.,neutral,neutral,0.5,arbitrated,unknown,neutral,disgust,sadness,,,,
8,8_3,Ross,Bumpy?,surprise,neutral,0.925,majority,majority,neutral,neutral,surprise,,,,
8,8_4,Chandler,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,disgust,0.9,arbitrated,unknown,joy,neutral,disgust,,,,
8,8_5,Chandler,And uh maybe you have to get used to it.,neutral,neutral,0.7,unanimous,majority,neutral,neutral,neutral,,,,
8,8_6,Jade,"Well there really wasn't much time to get used to it, you know what I mean?",joy,sadness,0.3933,unanimous,majority,sadness,sadness,sadness,,,,
10,10_0,Joey,Theres just so much pressure.,anger,neutral,0.5,arbitrated,unknown,anger,sadness,fear,,,,
10,10_1,Joey,"I mean no offense, but what you guys do is very different.",neutral,neutral,0.91,unanimous,majority,neutral,neutral,neutral,,,,
10,10_2,Joey,I dont know if youd understand.,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
10,10_3,Ross,"Yeah, none of us have to deal with pressure at our jobs.",neutral,neutral,0.6667,unanimous,majority,neutral,neutral,neutral,,,,
11,11_0,Rachel,"Well Phoebe, we gotta do something!",sadness,neutral,0.3333,unanimous,majority,neutral,neutral,neutral,,,,
11,11_1,Rachel,I mean theres no way Joeys gonna make it in time.,fear,neutral,0.5,arbitrated,unknown,surprise,neutral,fear,,,,
11,11_2,Rachel,So Im gonna go through the hotel and see if theres any other weddings going on.,neutral,neutral,0.3333,unanimous,majority,neutral,neutral,neutral,,,,
11,11_3,Phoebe,Okay. Oh but dont tell them Monicas pregnant because they frown on that.,neutral,neutral,0.22,majority,majority,neutral,neutral,surprise,,,,
11,11_4,Rachel,Okay.,neutral,neutral,1.0,unanimous,majority,neutral,neutral,neutral,,,,
9,9_0,Phoebe,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,neutral,0.5,majority,majority,neutral,neutral,surprise,,,,
