Dialogue_ID,Recognition_ID,Speaker,Utterance,Predicted_Emotion_Raw,Actual_Emotion
0,0_0_3_19,Mark,Why do all youre coffee mugs have numbers on the bottom?,"{
  ""recognition_id"": ""0_0_3_19"",
  ""reasoning"": ""All agent reports converge on a neutral, low-arousal informational query with no emotional shift detected, making Neutral the correct classification over Joy or Surprise due to the absence of high arousal or a novel/celebratory focus. The Temporal Shift Agent confirms continuity, reinforcing the stable, mundane baseline."",
  ""predicted_emotion"": ""neutral"",
  ""confidence"": 0.95,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Sentiment Analyst"", ""Social Dynamics Expert"", ""Emotion Shift Detector""],
    ""dissenting_agents"": []
  }
}",surprise
0,0_1_3_19,Rachel,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!","```json
{
  ""recognition_id"": ""0_1_3_19"",
  ""reasoning"": ""The utterance is a neutral explanation of a tracking system, maintaining the scene's lighthearted continuity. The playful imitation within the quote does not elevate the core emotion beyond informational neutrality, with joy being less fitting due to low arousal and lack of celebratory focus."",
  ""predicted_emotion"": ""neutral"",
  ""confidence"": 0.9,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Sentiment Analyst"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Social Dynamics""]
  }
}
```",anger
0,0_2_3_19,Rachel,Y'know what?,"{
  ""recognition_id"": ""0_2_3_19"",
  ""reasoning"": ""The utterance 'Y'know what?' is a routine conversational opener with neutral valence and moderate arousal, strongly supported by multiple agents as a hard-neutral discourse marker. Although the Emotional Shift Agent detected a pivot from playful to sincere, the phrase itself lacks emotional content, making Neutral the appropriate classification over Surprise (which requires higher arousal and explicit novelty)."",
  ""predicted_emotion"": ""neutral"",
  ""confidence"": 0.95,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Sentiment Analyst"", ""Social Dynamics""],
    ""dissenting_agents"": [""Emotional Shift Detector""]
  }
}",neutral
1,1_0_1_23,Joey,"Come on, Lydia, you can do it.","{
  ""recognition_id"": ""1_0_1_23"",
  ""reasoning"": ""The sentiment analyzer confirms positive valence, restricting the emotion to joy or surprise; given the emotional shift agent reports no shift and the context is one of continuous encouragement without novelty, joy is the correct classification over surprise. All agents align on a supportive, positive tone with no emotional pivot detected."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.85,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Sentiment Analyst"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Social Dynamics Expert""]
  }
}",neutral
1,1_1_1_23,Joey,Push!,"```json
{
  ""recognition_id"": ""1_1_1_23"",
  ""reasoning"": ""Despite the Sentiment Analyzer's surface-neutral rating, all other agents and the high-energy context confirm a positive, encouraging intent with no emotional shift or novel trigger, making Joy the most consistent classification. The high arousal and present-focused urging to succeed align with celebratory encouragement rather than surprise or neutral information transfer."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.85,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Social Dynamics"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Sentiment Analyst""]
  }
}
```",joy
1,1_2_1_23,Joey,"Push 'em out, push 'em out, harder, harder.","{
  ""recognition_id"": ""1_2_1_23"",
  ""reasoning"": ""Despite the Sentiment Analyst's report of negative valence, the contextual consensus from other agents (encouraging scene, playful/affectionate character intent, and no emotional shift) overrides this and supports a positive interpretation. The utterance functions as an energetic cheer focused on present achievement, aligning with Joy rather than a negative emotion like Anger."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.85,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Social Dynamics"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Sentiment Analyst""]
  }
}",joy
1,1_3_1_23,Joey,"Push 'em out, push 'em out, way out!","{
  ""recognition_id"": ""1_3_1_23"",
  ""reasoning"": ""Despite literal linguistic analysis suggesting negative valence and aggression, the contextual consensus from multiple agents (positive sports cheering, character-consistent encouragement, and social playful intent) overrides to indicate positive valence, requiring Joy or Surprise. Given high arousal, present/achievement focus, and no surprise trigger, Joy is selected over Anger, with the Emotion Shift Agent confirming continuity rather than a hostile pivot."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.9,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Social Dynamics Expert"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Sentiment Analyst""]
  }
}",joy
1,1_4_1_23,Joey,"Let's get that ball and really move, hey, hey, ho, ho.","{
  ""recognition_id"": ""1_4_1_23"",
  ""reasoning"": ""The Sentiment Analyzer confirms strong positive valence and high arousal, restricting the emotion to Joy or Surprise, while the Emotional Shift Agent reports no shift, indicating continuity rather than a novel trigger. Therefore, Joy is chosen over Surprise as the utterance is a continuous, celebratory encouragement focused on shared action and connection, not an unexpected event."",
  ""predicted_emotion"": ""joy"",
  ""confidence"": 0.95,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Context Historian"", ""Character Profiler"", ""Sentiment Analyst"", ""Social Dynamics"", ""Emotional Shift Detector""],
    ""dissenting_agents"": []
  }
}",joy
1,1_5_1_23,Joey,"Let's  I was justyeah, right.","```json
{
  ""recognition_id"": ""1_5_1_23"",
  ""reasoning"": ""The utterance shows a sharp pivot from energetic cheering to fragmented, dismissive speech with negative latent sentiment, indicating resigned disappointment rather than confrontational anger. The shift to self-conscious withdrawal and sarcastic dismissal aligns with Sadness, as fear is eliminated by lack of threat and anger by avoidant conflict style."",
  ""predicted_emotion"": ""sadness"",
  ""confidence"": 0.7,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Sentiment Analyst"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Context Historian"", ""Character Profiler"", ""Social Dynamics Expert""]
  }
}
```",joy
1,1_6_1_23,Joey,Push!,"{
  ""recognition_id"": ""1_6_1_23"",
  ""reasoning"": ""The Sentiment Analyzer reports neutral valence with high arousal, and the Emotional Shift Agent detects a true pivot from hesitation to a forceful command, making Surprise the best fit due to its high-arousal, valence-ambiguous profile triggered by an unexpected internal correction. Joy is excluded due to the neutral valence, and Neutral is unlikely given the high arousal and shift evidence."",
  ""predicted_emotion"": ""surprise"",
  ""confidence"": 0.7,
  ""agent_consensus"": {
    ""agreeing_agents"": [""Sentiment Analyst"", ""Emotional Shift Detector""],
    ""dissenting_agents"": [""Context Historian"", ""Character Profiler"", ""Social Dynamics""]
  }
}",joy
