Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,stage1_emotion,stage1_confidence,stage1_reasoning,stage1_raw
1,Why do all youre coffee mugs have numbers on the bottom?,Mark,surprise,positive,0,0,3,19,"00:14:38,127","00:14:40,378",neutral,0.9,Neutral question expressing curiosity without strong sentiment.,"```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.9,
      ""reasoning"": ""Neutral question expressing curiosity without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.85,
      ""reasoning"": ""Describes Monica's anger with a vivid and angry imitation, conveying anger as the primary emotion of the utterance despite Rachel not feeling it herself.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral filler/pause, setting up for a new thought or statement.""
    }
  ]
}
```"
2,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",Rachel,anger,negative,0,1,3,19,"00:14:40,629","00:14:47,385",anger,0.85,"Describes Monica's anger with a vivid and angry imitation, conveying anger as the primary emotion of the utterance despite Rachel not feeling it herself.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.9,
      ""reasoning"": ""Neutral question expressing curiosity without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.85,
      ""reasoning"": ""Describes Monica's anger with a vivid and angry imitation, conveying anger as the primary emotion of the utterance despite Rachel not feeling it herself.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral filler/pause, setting up for a new thought or statement.""
    }
  ]
}
```"
3,Y'know what?,Rachel,neutral,neutral,0,2,3,19,"00:14:56,353","00:14:57,520",neutral,0.95,"Neutral filler/pause, setting up for a new thought or statement.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.9,
      ""reasoning"": ""Neutral question expressing curiosity without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.85,
      ""reasoning"": ""Describes Monica's anger with a vivid and angry imitation, conveying anger as the primary emotion of the utterance despite Rachel not feeling it herself.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral filler/pause, setting up for a new thought or statement.""
    }
  ]
}
```"
19,"Come on, Lydia, you can do it.",Joey,neutral,neutral,1,0,1,23,"0:10:44,769","0:10:46,146",neutral,0.8,"Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
20,Push!,Joey,joy,positive,1,1,1,23,"0:10:46,146","0:10:46,833",neutral,0.8,"Neutral, as it is a neutral and functional command without strong emotional undertones.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
21,"Push 'em out, push 'em out, harder, harder.",Joey,joy,positive,1,2,1,23,"00:10:46,979","00:10:50,148",neutral,0.8,"Neutral, as it's a series of neutral and functional directives.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
22,"Push 'em out, push 'em out, way out!",Joey,joy,positive,1,3,1,23,"00:10:50,316","00:10:52,609",neutral,0.8,"Neutral, as it's a neutral and functional directive.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
23,"Let's get that ball and really move, hey, hey, ho, ho.",Joey,joy,positive,1,4,1,23,"00:10:52,777","00:10:55,612",joy,0.95,"Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
24,"Let's  I was justyeah, right.",Joey,joy,positive,1,5,1,23,"00:10:55,780","00:11:01,242",neutral,0.8,"Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
25,Push!,Joey,joy,positive,1,6,1,23,"0:11:01,410","0:11:01,828",neutral,0.8,"Neutral, as it is a neutral and functional command without strong emotional undertones.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
