Dialogue_ID,Recognition_ID,Speaker,Utterance,Actual_Emotion,predicted_emotion,confidence,reasoning,shift_flag,mental_state_raw,linguistic_signal_tag
0,0_0,Mark,Why do all youre coffee mugs have numbers on the bottom?,surprise,neutral,0.9,"The Micro-Linguistic Tone for the utterance is 'NEUTRAL' with low arousal and neutral sentiment, indicating a calm and factual inquiry. The LaERC internal_state describes Mark's state as 'neutral curiosity or simple observation', which directly aligns with a neutral emotion.",FALSE,"```json
{
  ""immediate_intent"": ""Mark is seeking an explanation or information about an observed detail."",
  ""internal_state"": ""Mark is in a state of neutral curiosity or simple observation."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknown""
}
```",NEUTRAL
0,0_1,Rachel,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",anger,neutral,0.95,"The LaERC's internal_state is 'Neutral and informative, with a slight observational amusement' and its 'surface_vs_subtext' is 'aligned', indicating a genuine neutral expression. This is further supported by the 'Temporal Shift Detection' confirming 'CONTINUITY MAINTAINED' with the 'neutral' retrieved examples.",FALSE,"```json
{
  ""immediate_intent"": ""To explain the practical purpose of the numbers on the coffee mugs."",
  ""internal_state"": ""Neutral and informative, with a slight observational amusement regarding Monica's intensity."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknown""
}
```",UNKNOWN
0,0_2,Rachel,Y'know what?,neutral,neutral,0.95,"All signals strongly and consistently indicate a neutral emotion. The Micro-Linguistic Tone is NEUTRAL, the Dynamic Mental State shows a neutral internal state with aligned surface and subtext, and the Temporal Shift Detection is FALSE, confirming continuity with the neutral retrieved examples.",FALSE,"```json
{
  ""immediate_intent"": ""To introduce further information or a new thought related to the current topic."",
  ""internal_state"": ""Neutral and communicative, preparing to elaborate."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""stable""
}
```",NEUTRAL
1,1_0,Joey,"Come on, Lydia, you can do it.",neutral,joy,0.95,"The LaERC internal_state indicates Joey is 'positive, supportive, and optimistic regarding Lydia's abilities'. Additionally, the Micro-Linguistic Analysis identifies the Surface Sentiment as 'Overwhelmingly positive due to the encouraging imperative and the direct affirmation of capability'.",FALSE,"```json
{
  ""immediate_intent"": ""Joey is trying to encourage Lydia to perform an action or overcome a challenge."",
  ""internal_state"": ""Joey appears positive, supportive, and optimistic regarding Lydia's abilities."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknown""
}
```",NEUTRAL
1,1_1,Joey,Push!,joy,joy,0.95,"The LaERC's internal_state is 'Engaged, positive, supportive, and focused on helping Lydia succeed with a sense of urgency,' and its surface_vs_subtext is 'aligned'. The Micro-Linguistic Analysis identifies a high arousal, positive surface sentiment, imperative utterance with an exclamation mark, all strongly indicative of active encouragement and positive emotion. Temporal shift is false, meaning these strong, consistent positive signals dominate over general anchors.",FALSE,"```json
{
  ""immediate_intent"": ""To strongly encourage and direct Lydia to perform a specific action, likely to overcome a challenge."",
  ""internal_state"": ""Engaged, positive, supportive, and focused on helping Lydia succeed with a sense of urgency."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_",AGGRESSIVE
1,1_2,Joey,"Push 'em out, push 'em out, harder, harder.",joy,joy,0.95,"The LaERC internal_state indicates 'Enthusiastic, supportive, focused on the other's success, and hopeful,' with 'surface_vs_subtext: aligned,' confirming a positive intent behind the commands. This aligns strongly with the retrieved example of 'It\'s got \'em!' -> JOY and the Micro-Linguistic Analysis's 'Arousal: Very High (8-10),' which supports an intense positive emotion.",FALSE,"```json
{
  ""immediate_intent"": ""To intensely encourage and motivate the other person to increase their effort and performance."",
  ""internal_state"": ""Enthusiastic, supportive, focused on the other's success, and hopeful."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalating""
}
``",AGGRESSIVE
1,1_3,Joey,"Push 'em out, push 'em out, way out!",joy,joy,0.95,"The utterance exhibits strong enthusiasm and unwavering determination, as clearly indicated by the LaERC internal_state and emotional_momentum. The repetition of the phrase and the presence of three exclamation marks in the Micro-Linguistic Paralinguistic analysis further reinforce a highly positive, high-arousal sentiment, consistent with joy in a supportive context.",FALSE,"```json
{
  ""immediate_intent"": ""To intensely guide and motivate Lydia to fully expel whatever 'em' refers to."",
  ""internal_state"": ""Strong enthusiasm, unwavering determination, and a deeply supportive belief in Lydia's success."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalati",AGGRESSIVE
1,1_4,Joey,"Let's get that ball and really move, hey, hey, ho, ho.",joy,joy,0.98,"The LaERC's `internal_state` and `surface_vs_subtext` both align with 'joy' and `emotional_momentum` is 'escalating'. The Micro-Linguistic Analysis reports 'Positive' Surface and Latent Sentiment, '9/10' Arousal, and a `Fine-grained analysis` indicating 'brimming with enthusiasm and positive energy' and 'unmistakable exclamatory and highly energetic tone'. These are overwhelmingly strong signals for joy, reinforced by the anchor examples that link 'hey, hey, ho, ho' patterns to JOY.",FALSE,"```json
{
  ""immediate_intent"": ""To ignite enthusiasm and encourage energetic participation in an activity involving a ball."",
  ""internal_state"": ""Enthusiastic, joyful, motivated, and playful."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalating""
}
```",AGGRESSIVE
1,1_5,Joey,"Let's  I was justyeah, right.",joy,fear,0.95,"The Temporal Shift Detection indicates a pivot, weighting current signals heavily. The Micro-Linguistic Analysis reveals strong indicators of negative latent sentiment, high negative arousal (citing anxiety, discomfort, fear of speaking, and suppression), and a withdrawn/vulnerable linguistic tone, along with a highly significant pragmatic disconnect due to hesitation and abrupt cut-offs. The Vulnerability Gate further supports Sadness/Fear as more likely than the surface suggests, aligning with the Micro-Linguistic findings despite a conflicting internal state from LaERC.",TRUE,"```json
{
  ""immediate_intent"": ""To pause and shift focus after a burst of encouragement, potentially acknowledging the current state or preparing for the next action."",
  ""internal_state"": ""Neutral, slightly reflective, and transitioning from high enthusiasm to a more composed but still positive st",WITHDRAWN/VULNERABLE
1,1_6,Joey,Push!,joy,joy,0.95,"The Micro-Linguistic Analysis indicates High Arousal (8/10) and Positive Surface/Latent Sentiment, with a direct imperative and an exclamation mark. The Dynamic Mental State (LaERC) further confirms the speaker is Enthusiastic, Determined, and Highly Motivated, with aligned surface and subtext, and escalating emotional momentum.",TRUE,"```json
{
  ""immediate_intent"": ""To initiate a call to action, rally others for a collective effort, and direct movement towards a specific objective."",
  ""internal_state"": ""Enthusiastic, determined, and highly motivated."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalating""
}
``",AGGRESSIVE
1,1_7,Joey,Push!,joy,joy,0.95,"The Micro-Linguistic Analysis identifies 'Very High' Arousal and 'Positive' Latent Sentiment, stemming from the strong imperative verb 'Push' and the exclamation mark indicating urgency. This is strongly corroborated by the Dynamic Mental State (LaERC), which describes Joey as 'highly enthusiastic, energetic, commanding, and intensely motivated' with an 'aligned' surface-vs-subtext sentiment.",FALSE,"```json
{
  ""immediate_intent"": ""Joey is trying to motivate others to continue exerting maximum effort and maintain a high level of energy in an activity."",
  ""internal_state"": ""Joey is feeling highly enthusiastic, energetic, commanding, and intensely motivated."",
  ""surface_vs_subtext"": ""aligned"",
",AGGRESSIVE
2,2_0,Ross,Okay.,neutral,neutral,0.95,"Micro-Linguistic Analysis identified 'Okay.' as a neutral, transactional utterance with very low arousal and no heightened emotionality, and LaERC's internal state was 'Neutral or calm, not displaying strong emotions,' with surface and subtext aligned, further confirming a neutral state.",FALSE,"```json
{
  ""immediate_intent"": ""To acknowledge or neutraly accept a previous statement or situation (implicitly, as there's no explicit previous statement shown)."",
  ""internal_state"": ""Neutral or calm, not displaying strong emotions."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""un",NEUTRAL
