Dialogue_ID,Utterance_ID,Recognition_ID,Speaker,Utterance,Actual_Emotion,Predicted_Emotion,Reasoning,raw_output
0,0,0_0,Mark,Why do all youre coffee mugs have numbers on the bottom?,surprise,neutral,neutral tone and question,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""humor and playful tone""},
    {""utterance_id"": 2, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and t"
0,1,0_1,Rachel,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",anger,joy,humor and playful tone,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""humor and playful tone""},
    {""utterance_id"": 2, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and t"
0,2,0_2,Rachel,Y'know what?,neutral,neutral,neutral tone and transition phrase,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""humor and playful tone""},
    {""utterance_id"": 2, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and t"
1,0,1_0,Joey,"Come on, Lydia, you can do it.",neutral,joy,encouragement and positive language,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,1,1_1,Joey,Push!,joy,joy,command to take action,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,2,1_2,Joey,"Push 'em out, push 'em out, harder, harder.",joy,joy,repetition of encouragement and action,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,3,1_3,Joey,"Push 'em out, push 'em out, way out!",joy,joy,intensification of encouragement,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,4,1_4,Joey,"Let's get that ball and really move, hey, hey, ho, ho.",joy,joy,song-like language and encouragement,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,5,1_5,Joey,"Let's  I was justyeah, right.",joy,neutral,self-interruption and hesitation,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,6,1_6,Joey,Push!,joy,joy,command to take action,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
1,7,1_7,Joey,Push!,joy,joy,command to take action,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""joy"", ""reasoning"": ""encouragement and positive language""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""joy"", ""reasoning"": ""command to take action""},
    {""utterance_id"": ""2"", ""predicted_emotion"": ""joy"", ""reasoning"": ""repetition"
3,0,3_0,Steve,"Oh, okay, I get it.",neutral,neutral,neutral tone and phrase 'I get it' suggests acceptance,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
3,1,3_1,Ross,"No wait, look. Look! I'm sorry, it's just I've never even",fear,surprise,exclamation mark and phrase 'look' suggests sudden realization,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
